"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка ошибки при логине с неверными данными (согласно документации API)","307","Логин с невалидными данными - ошибка 401","tests","2025-12-11","passed","2025-12-11","TestLoginUser","test_login_user","",""
"В рамках данного тест-кейса проверяется, что при отправке запроса на создание пользователя без указания имени - код ответа 403 Forbidden, пользователь не создаётся","246","При отправке запроса на создание пользователя без указания имени - код ответа 403 Forbidden, пользователь не создаётся","tests","2025-12-09","passed","2025-12-09","TestCreatingUser","test_creating_user","",""
"Проверка ошибки при создании уже существующего пользователя (согласно документации API)","388","Создание уже существующего пользователя - ошибка 403","tests","2025-12-11","passed","2025-12-11","TestCreateUser","test_creating_user","",""
"В рамках данного тест-кейса проверяется, что при отправке запроса на создание пользователя с данными, которые уже существует в базе данных - код ответа 403 Forbidden, пользователь не создаётся","855","При отправке запроса на создание пользователя с данными, которые уже существует в базе данных - код ответа 403 Forbidden, пользователь не создаётся","tests","2025-12-09","passed","2025-12-09","TestCreatingUser","test_creating_user","",""
"Проверка ошибки при создании пользователя без email (согласно документации API)","335","Создание пользователя без email - ошибка 403","tests","2025-12-11","passed","2025-12-11","TestCreateUser","test_creating_user","",""
"В рамках данного тест-кейса проверяется, что при отправке запроса на создание пользователя без указания пароля - код ответа 403 Forbidden, пользователь не создаётся","248","При отправке запроса на создание пользователя без указания пароля - код ответа 403 Forbidden, пользователь не создаётся","tests","2025-12-09","passed","2025-12-09","TestCreatingUser","test_creating_user","",""
"Проверка ошибки при создании заказа без ингредиентов","502","Создание заказа без ингредиентов - ошибка 400","tests","2025-12-11","passed","2025-12-11","TestCreateOrder","test_creating_order","",""
"Проверка успешного логина существующего пользователя","381","Логин существующего пользователя - успешно","tests","2025-12-11","passed","2025-12-11","TestLoginUser","test_login_user","",""
"В рамках данного тест-кейса проверяется, что при отправке запроса на создание заказа с ингредиентами - заказ успешно создаётся","530","При отправке запроса на создание заказа с ингредиентами - код ответа 200 ОК, заказ создаётся","tests","2025-12-09","passed","2025-12-09","TestCreateOrder","test_creating_order","",""
"Проверка успешного создания заказа авторизованным пользователем","3359","Создание заказа авторизованным пользователем - успешно","tests","2025-12-11","passed","2025-12-11","TestCreateOrder","test_creating_order","",""
"Проверка ошибки при создании заказа с невалидными хэшами","326","Создание заказа с невалидными хэшами ингредиентов - ошибка 500","tests","2025-12-11","passed","2025-12-11","TestCreateOrder","test_creating_order","",""
"Проверка ошибки при логине без email (согласно документации API)","381","Логин без email - ошибка 401","tests","2025-12-11","passed","2025-12-11","TestLoginUser","test_login_user","",""
"В рамках данного тест-кейса проверяется, что при отправке запроса на создание уникального пользователя - код ответа 200 ОК, пользователь создаётся","1","При отправке запроса на создание уникального пользователя - код ответа 200 ОК, пользователь создаётся","tests","2025-12-09","passed","2025-12-09","TestCreatingUser","test_creating_user","",""
"Проверка ошибки при логине без пароля (согласно документации API)","281","Логин без пароля - ошибка 401","tests","2025-12-11","passed","2025-12-11","TestLoginUser","test_login_user","",""
"В рамках данного тест-кейса проверяется, что при отправке запроса на создание пользователя без указания email - код ответа 403 Forbidden, пользователь не создаётся","247","При отправке запроса на создание пользователя без указания email - код ответа 403 Forbidden, пользователь не создаётся","tests","2025-12-09","passed","2025-12-09","TestCreatingUser","test_creating_user","",""
"Проверка ошибки при создании пользователя без имени (согласно документации API)","271","Создание пользователя без имени - ошибка 403","tests","2025-12-11","passed","2025-12-11","TestCreateUser","test_creating_user","",""
"Проверка ошибки при создании пользователя без пароля (согласно документации API)","281","Создание пользователя без пароля - ошибка 403","tests","2025-12-11","passed","2025-12-11","TestCreateUser","test_creating_user","",""
"Проверка успешного создания уникального пользователя с валидными данными","389","Создание уникального пользователя - успешно","tests","2025-12-11","passed","2025-12-11","TestCreateUser","test_creating_user","",""
"Проверка успешного создания заказа неавторизованным пользователем","320","Создание заказа неавторизованным пользователем - успешно","tests","2025-12-11","passed","2025-12-11","TestCreateOrder","test_creating_order","",""
